Unidade da Federação;2023;;uf;n;pop;tx
11 Rondônia;2;;Rondônia;2; 42.552 ; 5 
12 Acre;2;;Acre;2; 8.333 ; 24 
13 Amazonas;1;;Amazonas;1; 39.531 ; 3 
14 Roraima;1;;Roraima;1; 7.084 ; 14 
15 Pará;2;;Pará;2; 99.492 ; 2 
16 Amapá;3;;Amapá;3; 7.546 ; 40 
17 Tocantins;-;;Tocantins;-; 22.282 ;#VALOR!
21 Maranhão;-;;Maranhão;-; 73.466 ;#VALOR!
22 Piauí;-;;Piauí;-; 49.017 ;#VALOR!
23 Ceará;9;;Ceará;9; 189.219 ; 5 
24 Rio Grande do Norte;18;;Rio Grande do Norte;18; 88.937 ; 20 
25 Paraíba;-;;Paraíba;-; 93.396 ;#VALOR!
26 Pernambuco;3;;Pernambuco;3; 218.903 ; 1 
27 Alagoas;1;;Alagoas;1; 52.361 ; 2 
28 Sergipe;-;;Sergipe;-; 40.535 ;#VALOR!
29 Bahia;2;;Bahia;2; 229.260 ; 1 
31 Minas Gerais;82;;Minas Gerais;82; 787.324 ; 10 
32 Espírito Santo;23;;Espírito Santo;23; 145.293 ; 16 
33 Rio de Janeiro;35;;Rio de Janeiro;35; 741.474 ; 5 
35 São Paulo;208;;São Paulo;208; 2.364.613 ; 9 
41 Paraná;96;;Paraná;96; 560.505 ; 17 
42 Santa Catarina;74;;Santa Catarina;74; 423.379 ; 17 
43 Rio Grande do Sul;73;;Rio Grande do Sul;73; 815.499 ; 9 
50 Mato Grosso do Sul;13;;Mato Grosso do Sul;13; 83.910 ; 15 
51 Mato Grosso;7;;Mato Grosso;7; 79.102 ; 9 
52 Goiás;21;;Goiás;21; 185.545 ; 11 
53 Distrito Federal;6;;Distrito Federal;6; 83.070 ; 7 
Total;682;;Brasil;682; 7.531.626 ; 9 
