 Morbidade Hospitalar do SUS por Causas Externas - por local de residência - Brasil;;;;
Internações por Unidade da Federação e Ano atendimento;;;;
Grande Grup Causas: X85-Y09 Agressões, Y35-Y36 Intervenções legais e operações de guerra;;;;
Faixa Etária 1: 60 a 69 anos, 70 a 79 anos, 80 anos e mais;;;;
Sexo: Masc;;;;
Cor/raça: Preta, Parda;;;;
Período:Jan/2023-Nov/2024;;;;
Unidade da Federação;2022;2023;2024;Total
11 Rondônia;1;20;15;36
12 Acre;-;6;4;10
13 Amazonas;3;19;4;26
14 Roraima;-;5;2;7
15 Pará;7;200;217;424
16 Amapá;1;15;8;24
17 Tocantins;5;43;9;57
21 Maranhão;2;35;38;75
22 Piauí;2;40;32;74
23 Ceará;6;106;86;198
24 Rio Grande do Norte;5;55;96;156
25 Paraíba;1;20;18;39
26 Pernambuco;2;39;48;89
27 Alagoas;7;14;15;36
28 Sergipe;-;8;11;19
29 Bahia;9;182;210;401
31 Minas Gerais;7;164;149;320
32 Espírito Santo;4;67;44;115
33 Rio de Janeiro;8;52;67;127
35 São Paulo;12;151;158;321
41 Paraná;1;23;24;48
42 Santa Catarina;-;8;11;19
43 Rio Grande do Sul;2;6;5;13
50 Mato Grosso do Sul;4;33;28;65
51 Mato Grosso;3;12;14;29
52 Goiás;5;56;20;81
53 Distrito Federal;3;22;23;48
Total;100;1401;1356;2857
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS);;;;
 Notas:;;;;
 ;;;;
 Dados referentes aos últimos seis meses, sujeitos a atualização.;;;;
 ;;;;
