Unidade da Federação;2023;;uf;n;pop;tx
11 Rondônia;3;;Rondônia;3;47800,95968;6,276024624
12 Acre;-;;Acre;-;10590,848;#VALOR!
13 Amazonas;-;;Amazonas;-;46048,85763;#VALOR!
14 Roraima;-;;Roraima;-;8104,62491;#VALOR!
15 Pará;2;;Pará;2;112450,3901;1,778562082
16 Amapá;1;;Amapá;1;10010,6182;9,989393058
17 Tocantins;-;;Tocantins;-;26471,86293;#VALOR!
21 Maranhão;-;;Maranhão;-;101389,2616;#VALOR!
22 Piauí;-;;Piauí;-;67480,38571;#VALOR!
23 Ceará;2;;Ceará;2;253127,3398;0,790116153
24 Rio Grande do Norte;12;;Rio Grande do Norte;12;142950,3022;8,394525801
25 Paraíba;-;;Paraíba;-;131394,0759;#VALOR!
26 Pernambuco;-;;Pernambuco;-;308895,9014;#VALOR!
27 Alagoas;1;;Alagoas;1;72258,60844;1,383918154
28 Sergipe;-;;Sergipe;-;47853,25756;#VALOR!
29 Bahia;1;;Bahia;1;331867,3047;0,301325254
31 Minas Gerais;28;;Minas Gerais;28;930304,6758;3,009766663
32 Espírito Santo;7;;Espírito Santo;7;173094,6066;4,044031259
33 Rio de Janeiro;6;;Rio de Janeiro;6;1057266,307;0,567501297
35 São Paulo;59;;São Paulo;59;3314526,797;1,780042933
41 Paraná;24;;Paraná;24;721890,5353;3,324603777
42 Santa Catarina;38;;Santa Catarina;38;529170,7985;7,181046291
43 Rio Grande do Sul;21;;Rio Grande do Sul;21;1033602,594;2,031728647
50 Mato Grosso do Sul;2;;Mato Grosso do Sul;2;97185,9969;2,057909641
51 Mato Grosso;2;;Mato Grosso;2;91847,75409;2,1775165
52 Goiás;14;;Goiás;14;255915,2461;5,470561139
53 Distrito Federal;5;;Distrito Federal;5;114342,9468;4,372810164
Total;228;;Brasil;228;10037842,86;2,271404357
