Unidade da Federação;2023;;uf;n;pop;tx
11 Rondônia;3;;Rondônia;3;94601,91295;3,171183231
12 Acre;1;;Acre;1;33892,5292;2,950502732
13 Amazonas;3;;Amazonas;3;157907,4036;1,899847589
14 Roraima;-;;Roraima;-;16861,84467;#VALOR!
15 Pará;87;;Pará;87;412926,6182;21,06911886
16 Amapá;3;;Amapá;3;37672,00078;7,963474034
17 Tocantins;7;;Tocantins;7;70998,95877;9,859299518
21 Maranhão;24;;Maranhão;24;352067,9647;6,816865608
22 Piauí;6;;Piauí;6;205884,3671;2,914257204
23 Ceará;27;;Ceará;27;522672,0299;5,165763319
24 Rio Grande do Norte;34;;Rio Grande do Norte;34;170635,2121;19,92554737
25 Paraíba;6;;Paraíba;6;202944,4653;2,956473827
26 Pernambuco;5;;Pernambuco;5;478798,0134;1,044281693
27 Alagoas;2;;Alagoas;2;161698,0693;1,236873148
28 Sergipe;4;;Sergipe;4;122449,2561;3,266659291
29 Bahia;136;;Bahia;136;935891,8027;14,53159432
31 Minas Gerais;46;;Minas Gerais;46;982951,4799;4,679783381
32 Espírito Santo;21;;Espírito Santo;21;185486,8144;11,32155947
33 Rio de Janeiro;19;;Rio de Janeiro;19;910432,0071;2,086921357
35 São Paulo;29;;São Paulo;29;1471104,032;1,97130858
41 Paraná;4;;Paraná;4;276150,2762;1,448486692
42 Santa Catarina;4;;Santa Catarina;4;83691,45091;4,779460694
43 Rio Grande do Sul;3;;Rio Grande do Sul;3;188831,4664;1,588718266
50 Mato Grosso do Sul;4;;Mato Grosso do Sul;4;97026,03407;4,122604864
51 Mato Grosso;2;;Mato Grosso;2;135816,943;1,472570326
52 Goiás;22;;Goiás;22;309796,7809;7,101429503
53 Distrito Federal;10;;Distrito Federal;10;119164,488;8,391761815
Total;512;;Brasil;512;8738354,221;5,859226887
