 VIOLÊNCIA INTERPESSOAL/AUTOPROVOCADA - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;
Freqüência por Raça e Ano da Notific;;;;;;;;;;;;;;;;;;;;;;;;;;
Lesão Autoprov: Sim;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:2013-2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Raça;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Total;;;;;;;;;;;;;;
Ign/Branco;3.202;3.744;5.575;5.739;6.321;8.033;11.342;8.695;10.349;10.662;9.705;83.367;;;;;;;;;;;;;;
Branca;12.739;14.778;19.006;22.080;34.134;44.129;59.717;44.513;50.966;59.952;79.553;441.567;;;;;;;;;;;;;;
Preta;1.662;1.963;2.537;2.839;4.183;5.512;7.814;6.352;7.501;9.269;13.411;63.043;;Interpessoal/Autoprovocada;1.498;1.822;2.060;2.336;2.713;3.291;3.965;3.200;3.390;4.234;6.285;34.794
Amarela;142;199;236;287;481;598;944;937;1.177;1.461;1.781;8.243;;;;;;;;;;;;;;
Parda;7.510;8.804;12.070;14.251;22.690;30.493;46.140;36.241;45.550;58.003;80.658;362.410;;;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Total
Indigena;215;220;265;293;392;507;721;552;726;809;1.168;5.868;;Autoprovocada;215;220;265;293;392;507;721;552;726;809;1.168;5.868
Total;25470;29708;39689;45489;68201;89272;126678;97290;116269;140156;186276;964498;;Interpessoal;1.283;1.602;1.795;2.043;2.321;2.784;3.244;2.648;2.664;3.425;5.117;28.926
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net;;;;;;;;;;;;;;Total;1.498;1.822;2.060;2.336;2.713;3.291;3.965;3.200;3.390;4.234;6.285;34.794
 Notas:;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2019 referentes ao estado do Espírito Santo são oriundos do Sinan e Sistema de Informação e-SUS VS, em uso pelo estado;;;;;;;;;;;;;;;;;;;;;;;;;;
 desde dezembro de 2019.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2009 a 2014 atualizados em 15/05/2018.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2015 e 2016 atualizados em 08/11/2018.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2017 atualizados em 17/04/2019.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2018 atualizados em 24/06/2020.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2019 atualizados em 18/03/2021.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2020 atualizados em 25/07/2022, correção em 30/04/2024.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2021 atualizados em 19/10/2023.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2022 atualizados em 01/11/2024.;;;;;;;;;;;;;;;;;;;;;;;;;;
 Dados de 2023 atualizados em 08/05/2024, dados sujeitos à revisão.;;;;;;;;;;;;;;;;;;;;;;;;;;
 * Dados disponibilizados no TABNET em novembro de 2024.;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
